,RecordNo,ActivityType,WaterUse,IrrigationOf,PrimaryIrrigationType,IrrigatedAreaHa,MaxRateLs,VolumeM3,ConsecutiveDayPeriod
0,CRC165168,Use Groundwater,Irrigation,Pasture,Spray,0.0,,,
0,CRC160461,Use Groundwater,Irrigation,Pasture,Spray,0.0,33.0,2854.0,1.0
0,CRC151726,Use Groundwater,Domestic Use,,,,,,
0,CRC160560,Use Groundwater,Irrigation,Pasture,Spray,0.0,,,
0,CRC132815,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,5.0,159.0,1.0
0,CRC151696,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,,,
0,CRC154725,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,,,
0,CRC142947,Use Groundwater,Irrigation,Pasture,Spray,0.0,,,
0,CRC161903,Use Groundwater,Irrigation,Pasture,Spray,0.0,,,
0,CRC161903,Use Groundwater,Irrigation,Pasture,Spray,0.0,,,
0,CRC160561,Use Groundwater,Irrigation,Pasture,Spray,0.0,,,
0,CRC156014,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,4.6,93.0,1.0
0,CRC160276,Use Groundwater,Stockwater,,,,4.0,140.0,1.0
0,CRC160372,Use Groundwater,Domestic Use,,,,,,
0,CRC134786,Use Groundwater,Augment Flow/Wetland/Aquifer,,,,25.0,6559.0,7.0
0,CRC140381,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,5.0,100.0,1.0
0,CRC142776,Use Groundwater,Irrigation,Pasture,Spray,0.0,,,
0,CRC150219,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,2.0,101.0,1.0
0,CRC143295,Use Groundwater,Irrigation,Pasture,Spray,0.0,10.0,656.0,1.0
0,CRC157107,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,3.5,302.0,1.0
0,CRC142043,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,5.0,38.7,1.0
0,CRC144773,Use Groundwater,Public Water Supply,,,,,,
0,CRC135819,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,4.0,70.0,1.0
0,CRC162594,Use Groundwater,Irrigation,Pasture,Spray,0.0,,,
0,CRC150058,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,4.9,49.0,1.0
0,CRC050512.1,Use Groundwater,Irrigation,Pasture,Spray,190.0,73.0,44150.0,7.0
0,CRC991606,Use Groundwater,Irrigation,Market Garden,Spray,2.0,,,
0,CRC042690,Use Groundwater,Irrigation,Pasture,Spray,220.0,100.0,115920.0,14.0
0,CRC136723,Use Groundwater,Irrigation,Pasture,Spray,328.0,190.0,,
0,CRC145623,Use Groundwater,Irrigation,Market Garden,Trickle,4.0,3.0,260.0,4.0
0,CRC040441.1,Use Groundwater,Irrigation,Pasture,Spray,10.0,2.0,3553.0,21.0
0,CRC157492,Use Groundwater,Irrigation,Pasture,Spray,252.0,,,
0,CRC030382.1,Use Groundwater,Irrigation,Pasture,Spray,190.0,91.0,7862.0,1.0
0,CRC181628,Use Groundwater,Irrigation,Pasture,Spray,10.0,,,
0,CRC153020,Use Groundwater,Irrigation,Pasture,Spray,129.0,73.0,6045.0,1.0
0,CRC900211.2,Use Groundwater,Irrigation,Pasture,Spray,80.0,,,
0,CRC174545,Use Groundwater,Irrigation,Market Garden,Spray,2.0,3.75,81.0,1.0
0,CRC010319,Use Groundwater,Irrigation,Market Garden,Spray,3.6,3.6,467.0,3.0
0,CRC961188.3,Use Groundwater,Irrigation,Market Garden,Trickle,34.0,10.0,495.0,1.0
0,CRC970953.1,Use Groundwater,Irrigation,Pasture,Spray - Gun,4.0,18.0,1620.0,7.0
0,CRC150812,Use Groundwater,Irrigation,Pasture,Spray,49.0,,,
0,CRC971709.1,Use Groundwater,Irrigation,Market Garden,Spray,5.0,12.0,211.0,1.0
0,CRC172301,Use Groundwater,Irrigation,Pasture,Spray - Gun,30.0,,,
0,CRC151809,Use Groundwater,Domestic Use,,,,,,
0,CRC172439,Use Groundwater,Irrigation,Pasture,Spray - Gun,8.0,,,
0,CRC181103,Use Groundwater,Irrigation,Pasture,Spray,11.0,,,
0,CRC060149.1,Use Groundwater,Irrigation,Pasture,Spray,86.0,50.0,17280.0,4.0
0,CRC151071,Use Groundwater,Irrigation,Market Garden,Spray,3.0,,,
0,CRC166373,Use Groundwater,Irrigation,Market Garden,Spray,100.0,,,
0,CRC150783,Use Groundwater,Irrigation,Pasture,Spray,19.0,,,
0,CRC940621.1,Use Groundwater,Irrigation,Pasture,Spray,30.0,,,
0,CRC051369,Use Groundwater,Irrigation,Pasture,Spray,3.0,2.8,121.0,1.0
0,CRC021573A.4,Use Groundwater,Irrigation,Pasture,Spray,60.0,54.0,11423.0,7.0
0,CRC171324,Use Groundwater,Irrigation,Pasture,Spray,26.0,,,
0,CRC960262.1,Use Groundwater,Irrigation,Pasture,Spray,35.0,22.5,14904.0,12.0
0,CRC021323,Use Groundwater,Irrigation,Pasture,Spray,67.0,34.5,29808.0,10.0
0,CRC930946.1,Use Groundwater,Irrigation,Pasture,Spray,126.0,52.0,4493.0,1.0
0,CRC991554,Use Groundwater,Irrigation,Market Garden,Spray,5.0,2.0,432.0,7.0
0,CRC010678.3,Use Groundwater,Irrigation,Cropping,Spray,58.0,45.0,47628.0,14.0
0,CRC961101.3,Use Groundwater,Irrigation,Pasture,Spray,70.0,,,
0,CRC961174.1,Use Groundwater,Irrigation,Pasture,Spray,4.0,,,
0,CRC021197,Use Groundwater,Irrigation,Pasture,Spray,400.0,170.4,,
0,CRC156464,Use Groundwater,Irrigation,Pasture,Spray - Gun,57.0,,,
0,CRC012789.1,Use Groundwater,Irrigation,Vineyard ,Spray,4.0,2.7,632.0,5.0
0,CRC990610,Use Groundwater,Irrigation,Pasture,Spray,25.0,15.2,21013.0,20.0
0,CRC157423,Use Groundwater,Irrigation,Pasture,Spray,10.0,,,
0,CRC167577,Use Groundwater,Irrigation,Pasture,Spray,13.2,,,
0,CRC990492.1,Use Groundwater,Irrigation,Cropping,Spray,8.0,4.0,4752.0,15.0
0,CRC010392,Use Groundwater,Public Water Supply,,,,4.0,2100.0,7.0
0,CRC960135.1,Use Groundwater,Irrigation,Pasture,Spray - Gun,4.0,,,
0,CRC940543,Use Groundwater,Irrigation,Market Garden,Trickle,4.0,,,
0,CRC971154.2,Use Groundwater,Irrigation,Cropping,Spray,60.0,,,
0,CRC144424,Use Groundwater,Irrigation,Pasture,Spray,42.0,,,
0,CRC042276.1,Use Groundwater,Irrigation,Pasture,Spray,149.0,100.0,74520.0,9.0
0,CRC990966,Use Groundwater,Irrigation,Cropping,Spray,4.0,4.0,864.0,7.0
0,CRC961383,Use Groundwater,Irrigation,Pasture,Spray,10.0,,,
0,CRC171503,Use Groundwater,Irrigation,,Spray,4.0,,,
0,CRC143763,Use Groundwater,Irrigation,Pasture,Spray,323.0,66.0,592272.0,150.0
0,CRC171502,Use Groundwater,Irrigation,,Spray,4.0,,,
0,CRC144324,Use Groundwater,Irrigation,Market Garden,Spray,4.0,,,
0,CRC010116,Use Groundwater,Irrigation,Pasture,Spray,10.0,5.5,4277.0,12.0
0,CRC144494,Use Groundwater,Irrigation,Market Garden,Spray,40.23,,,
0,CRC050196,Use Groundwater,Irrigation,Pasture,Spray,85.0,45.5,19656.0,7.0
0,CRC154740,Use Groundwater,Irrigation,Pasture,Spray,60.0,,,
0,CRC174173,Use Groundwater,Irrigation,Market Garden,Spray,20.0,19.8,576.0,1.0
0,CRC971155,Use Groundwater,Irrigation,Pasture,Spray,2.0,,,
0,CRC950590,Use Groundwater,Irrigation,Pasture,Spray - Gun,80.0,,,
0,CRC961154.1,Use Groundwater,Irrigation,Pasture,Spray,100.0,,,
0,CRC010872.1,Use Groundwater,Irrigation,Pasture,Spray,160.0,53.0,58766.0,14.0
0,CRC154547,Use Groundwater,Irrigation,Pasture,Spray,536.0,,,
0,CRC020061,Use Groundwater,Irrigation,Market Garden,Trickle,12.0,2.5,216.0,1.0
0,CRC176568,Use Groundwater,Irrigation,Pasture,Spray,149.0,75.3,43246.0,7.0
0,CRC082926.3,Use Groundwater,Irrigation,Pasture,Spray,222.0,96.0,7517.0,1.0
0,CRC010760.1,Use Groundwater,Irrigation,Market Garden,Spray - Gun,5.0,6.0,2768.0,21.0
0,CRC131007,Use Groundwater,Irrigation,Pasture,Spray,26.0,12.0,10368.0,10.0
0,CRC941349.2,Use Groundwater,Irrigation,Market Garden,Spray,3.0,,,
0,CRC991827,Use Groundwater,Irrigation,Pasture,Spray - Gun,69.0,45.6,3612.0,1.0
0,CRC101643,Use Groundwater,Irrigation,Ready Lawn,Spray,2.5,5.0,108.0,1.0
0,CRC050390,Use Groundwater,Irrigation,Pasture,Spray,251.0,68.5,65102.0,11.0
0,CRC930966.1,Use Groundwater,Irrigation,Market Garden,Spray,10.0,,,
0,CRC153138,Use Groundwater,Irrigation,Cropping,Spray - Gun,8.0,,,
0,CRC136602,Use Groundwater,Irrigation,Market Garden,Trickle,36.0,22.5,22680.0,15.0
0,CRC141305,Use Groundwater,Irrigation,Pasture,Spray - Gun,34.0,18.0,1426.0,1.0
0,CRC180549,Use Groundwater,Irrigation,Pasture,Spray,37.0,25.0,2160.0,1.0
0,CRC970531,Use Groundwater,Irrigation,Pasture,Spray - Gun,21.0,,,
0,CRC021197,Use Groundwater,Irrigation,Pasture,Spray,400.0,170.4,,
0,CRC150657,Use Groundwater,Irrigation,Vineyard ,Spray,3.0,,,
0,CRC173215,Use Groundwater,Irrigation,,Spray,2.0,,,
0,CRC001400.1,Use Groundwater,Irrigation,Pasture,Spray,0.0,20.0,6912.0,7.0
0,CRC970715.1,Use Groundwater,Irrigation,,Trickle,4.0,18.8,677.0,7.0
0,CRC010033.1,Use Groundwater,Irrigation,Pasture,Spray,0.0,23.0,20865.0,28.0
0,CRC150958,Use Groundwater,Irrigation,Pasture,Spray,140.0,115.0,119232.0,14.0
0,CRC167802,Use Groundwater,Irrigation,Market Garden,Spray,3.0,,,
0,CRC991051,Use Groundwater,Public Water Supply,,,,,,
1,CRC991051,Use Groundwater,Heat exchange - non HVAC,,,,,,
0,CRC940098,Use Groundwater,Irrigation,Market Garden,Trickle,5.0,,,
0,CRC172986,Use Groundwater,Irrigation,Pasture,Spray,14.0,8.0,432.0,1.0
0,CRC173867,Use Groundwater,Irrigation,Pasture,Spray,20.0,18.0,4903.0,7.0
0,CRC961466,Use Groundwater,Irrigation,Pasture,Spray - Gun,10.0,,,
0,CRC971172.1,Use Groundwater,Irrigation,Market Garden,Spray,1.0,,,
0,CRC000130.1,Use Groundwater,Irrigation,Cropping,Trickle,23.0,14.0,1159.0,1.0
0,CRC970756,Use Groundwater,Irrigation,Market Garden,Trickle,4.0,2.0,180.0,7.0
0,CRC040705.3,Use Groundwater,Irrigation,Vineyard ,Trickle,9.0,4.4,760.0,8.0
0,CRC971007,Use Groundwater,Manufacturing - Other,,,,44.0,26611.0,7.0
0,CRC173562,Use Groundwater,Irrigation,Market Garden,Trickle,10.0,,,
0,CRC920689,Use Groundwater,Irrigation,Pasture,Spray - Gun,200.0,63.0,34297.0,7.0
0,CRC012438.1,Use Groundwater,Irrigation,Pasture,Spray,65.0,43.0,21773.0,7.0
0,CRC061261,Use Groundwater,Irrigation,Pasture,Spray,189.0,78.0,47174.0,7.0
0,CRC151757,Use Groundwater,Irrigation,Pasture,Spray,188.0,102.0,150336.0,18.0
0,CRC010854.1,Use Groundwater,Irrigation,Pasture,Spray,10.0,5.0,1080.0,10.0
0,CRC050968.2,Use Groundwater,Irrigation,Pasture,Spray,220.0,100.0,60480.0,7.0
0,CRC132490,Use Groundwater,Irrigation,Pasture,Spray - Gun,120.0,42.0,48686.0,14.0
0,CRC991559,Use Groundwater,Irrigation,Market Garden,Spray,11.0,10.0,5292.0,14.0
0,CRC980935.3,Use Groundwater,Irrigation,Pasture,Spray,10.0,1.25,108.0,1.0
0,CRC176479,Use Groundwater,Irrigation,Pasture,Spray,24.0,19.0,10500.0,14.0
0,CRC012057.1,Use Groundwater,Irrigation,Pasture,Spray - Gun,33.0,,,
0,CRC050261.3,Use Groundwater,Irrigation,Pasture,Spray,120.0,58.0,5011.0,1.0
0,CRC011116,Use Groundwater,Irrigation,Pasture,Spray,1.6,1.3,716.0,9.0
0,CRC156815,Use Groundwater,Irrigation,Pasture,Spray,173.0,90.0,7783.0,1.0
0,CRC032257,Use Groundwater,Irrigation,Market Garden,Spray,10.0,8.0,346.0,1.0
0,CRC960538,Use Groundwater,Manufacturing - Other,,,,,,
0,CRC171680,Use Groundwater,Irrigation,Pasture,Spray,6.0,,,
0,CRC951474,Use Groundwater,Irrigation,Pasture,Spray - Gun,12.0,,,
0,CRC960786,Use Groundwater,Irrigation,Pasture,Spray,10.2,10.6,458.0,1.0
0,CRC012162.5,Use Groundwater,Irrigation,Pasture,Spray - Gun,24.0,35.0,8479.0,7.0
0,CRC010534.2,Use Groundwater,Irrigation,Pasture,Spray,65.0,7.5,27.0,1.0
0,CRC010036.3,Use Groundwater,Irrigation,Pasture,Spray,14.0,18.9,700.0,1.0
0,CRC145750,Use Groundwater,Irrigation,,Spray - Gun,28.0,,,
0,CRC991858,Use Groundwater,Irrigation,Pasture,Spray,27.0,,,
0,CRC990720.2,Use Groundwater,Irrigation,Pasture,Spray,20.0,,,
0,CRC981542,Use Groundwater,Irrigation,,Spray - Gun,8.0,,,
0,CRC063770.2,Use Groundwater,Irrigation,Pasture,Spray,10.0,3.75,324.0,1.0
0,CRC100014,Use Groundwater,Irrigation,Pasture,Spray,5.0,5.0,288.0,1.0
0,CRC010883,Use Groundwater,Irrigation,Pasture,Spray,3.0,4.0,238.0,3.0
0,CRC147641,Use Groundwater,Irrigation,Pasture,Spray,16.0,,,
0,CRC171801,Use Groundwater,Irrigation,Pasture,Spray,4.0,,,
0,CRC150154,Use Groundwater,Irrigation,Pasture,Spray,75.0,,,
0,CRC940473.2,Use Groundwater,Irrigation,Market Garden,Spray,11.0,,,
0,CRC020551.1,Use Groundwater,Irrigation,Pasture,Spray - Gun,35.0,19.0,15732.0,10.0
0,CRC145991,Use Groundwater,Irrigation,Pasture,Spray,110.0,,,
0,CRC010876.1,Use Groundwater,Irrigation,Market Garden,Spray,8.1,5.5,713.0,2.0
0,CRC156892,Use Groundwater,Irrigation,Pasture,Spray,180.0,,,
0,CRC981731,Use Groundwater,Irrigation,Market Garden,Spray,2.0,,,
0,CRC166880,Use Groundwater,Irrigation,Cropping,Spray,4.0,,,
0,CRC169658,Use Groundwater,Irrigation,Pasture,Spray,155.0,,,
0,CRC147502,Use Groundwater,Irrigation,Pasture,Spray,120.0,55.0,4356.0,1.0
0,CRC051728.1,Use Groundwater,Irrigation,Pasture,Spray,118.0,55.0,33264.0,7.0
0,CRC135177,Use Groundwater,Irrigation,Pasture,Spray,30.0,19.5,7776.0,7.0
0,CRC980563,Use Groundwater,Irrigation,Pasture,Spray,24.0,20.0,720.0,1.0
0,CRC140991,Use Groundwater,Irrigation,Pasture,Spray,4.0,2.0,173.0,1.0
0,CRC990929,Use Groundwater,Public Water Supply,,,,100.0,8640.0,1.0
0,CRC091784.1,Use Groundwater,Irrigation,Pasture,Spray,9.0,4.0,3456.0,10.0
0,CRC990202.3,Use Groundwater,Irrigation,Pasture,Spray,64.0,30.0,2592.0,1.0
0,CRC103272,Use Groundwater,Irrigation,Pasture,Spray,16.0,10.0,5544.0,7.0
0,CRC980428,Use Groundwater,Irrigation,Market Garden,Spray,6.0,,,
0,CRC951714.3,Use Groundwater,Irrigation,Pasture,Spray,10.0,,,
0,CRC170294,Use Groundwater,Irrigation,Pasture,Spray,20.0,,,
0,CRC970304,Use Groundwater,Public Water Supply,,,,76.0,3010.0,1.0
0,CRC041689,Use Groundwater,Irrigation,Pasture,Spray,10.0,5.0,6048.0,14.0
0,CRC952585.2,Use Groundwater,Irrigation,Pasture,Spray,78.0,,,
0,CRC080795,Use Groundwater,Irrigation,Sports Field,Spray,8.0,9.5,1539.0,7.0
0,CRC971173,Use Groundwater,Irrigation,Pasture,Spray,81.0,15.0,9072.0,7.0
0,CRC961653.1,Use Groundwater,Irrigation,Pasture,Spray,40.0,30.0,2160.0,1.0
0,CRC153376,Use Groundwater,Irrigation,Pasture,Spray,3.0,,,
0,CRC173506,Use Groundwater,Irrigation,Pasture,Spray,221.0,157.0,147072.0,12.0
0,CRC001018.4,Use Groundwater,Irrigation,Pasture,Spray,100.0,57.0,75513.0,16.0
0,CRC970515,Use Groundwater,Irrigation,,Spray,0.2,,,
0,CRC991009A,Use Groundwater,Irrigation,Pasture,Spray - Gun,112.0,53.0,4000.0,1.0
0,CRC082926.3,Use Groundwater,Irrigation,Pasture,Spray,222.0,96.0,7517.0,1.0
0,CRC031256.2,Use Groundwater,Irrigation,Pasture,Spray,50.0,38.0,2485.3,1.0
0,CRC002114,Use Groundwater,Irrigation,Pasture,Spray,178.0,75.0,5940.0,1.0
0,CRC971160,Use Groundwater,Irrigation,Market Garden,Spray,27.0,,,
0,CRC001609,Use Groundwater,Irrigation,Cropping,Spray,3.0,4.4,1841.0,14.0
0,CRC021197,Use Groundwater,Irrigation,Pasture,Spray,400.0,170.4,,
0,CRC010562,Use Groundwater,Irrigation,Pasture,Spray,18.7,24.0,13306.0,14.0
0,CRC011150.1,Use Groundwater,Irrigation,Pasture,Spray,20.0,26.5,8586.0,10.0
0,CRC030897.3,Use Groundwater,Irrigation,Pasture,Spray,81.0,75.8,64915.0,16.0
0,CRC950206,Use Groundwater,Irrigation,Pasture,Spray,7.0,,,
0,CRC060738.1,Use Groundwater,Irrigation,Pasture,Spray,28.0,21.0,1250.0,1.0
0,CRC990376,Use Groundwater,Irrigation,Cropping,Spray,160.0,,,
0,CRC080497,Use Groundwater,Irrigation,Pasture,Spray,4.0,1.0,1584.0,21.0
0,CRC020351.1,Use Groundwater,Irrigation,Sports Field,Spray,3.6,1.54,,
0,CRC952581.4,Use Groundwater,Irrigation,Cropping,Spray - Gun,16.0,,,
0,CRC141330,Use Groundwater,Irrigation,Pasture,Spray,142.0,,,
1,CRC141330,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,,,
0,CRC970474.1,Use Groundwater,Irrigation,Pasture,Spray - Gun,80.0,,,
0,CRC040894,Use Groundwater,Irrigation,Pasture,Spray,21.0,6.0,259.0,1.0
