,RecordNo,ActivityType,WaterUse,IrrigationOf,PrimaryIrrigationType,IrrigatedAreaHa,MaxRateLs,VolumeM3,ConsecutiveDayPeriod
0,CRC203050,Use Surface Water,Irrigation,Pasture,Spray,170.0,69.0,,
0,CRC222773,Use Surface Water,Irrigation,Pasture,Spray,47.0,21.7,,
0,CRC204020,Use Surface Water,Irrigation,Pasture,Spray,160.0,58.0,5011.0,1.0
0,CRC202596,Use Groundwater,Irrigation,Pasture,Spray,272.0,170.0,,
0,CRC201378,Use Surface Water,Irrigation,Pasture,Spray,55.0,5.0,432.0,1.0
0,CRC210557,Use Groundwater,Irrigation,Pasture,Spray,70.0,35.0,3024.0,1.0
0,CRC202106,Use Groundwater,Irrigation,Cropping,Spray,900.0,278.0,,
0,CRC202954,Use Groundwater,Irrigation,Pasture,Spray,184.0,49.0,,
0,CRC202953,Use Groundwater,Irrigation,Pasture,Spray,0.0,27.0,,
0,CRC222984,Use Groundwater,Irrigation,Pasture,Spray,180.0,87.0,,
0,CRC204676,Use Groundwater,Irrigation,Pasture,Spray,346.9,12.0,1036.8,1.0
0,CRC202955,Use Groundwater,Irrigation,Pasture,Trickle,360.0,,,
0,CRC221037,Use Groundwater,Irrigation,Pasture,Spray,60.0,,,
0,CRC203490,Use Groundwater,Irrigation,Sports Field,Spray,10.0,5.5,25000.0,7.0
0,CRC201637,Use Surface Water,Irrigation,Pasture,Spray,68.1,40.0,270400.0,365.0
1,CRC201637,Use Surface Water,Domestic Use,,,,,12045.0,365.0
0,CRC204837,Use Groundwater,Irrigation,Pasture,Spray,120.0,55.0,,
0,CRC204834,Use Groundwater,Irrigation,Pasture,Spray,120.0,13.0,,
0,CRC210185,Use Groundwater,Irrigation,Amenity,Spray,7.3,,,
1,CRC210185,Use Groundwater,Domestic Use,,,,,,
2,CRC210185,Use Groundwater,Public Water Supply,,,,,,
0,CRC141422,Use Groundwater,Irrigation,Pasture,Spray,0.0,20.0,1728.0,1.0
0,CRC202524,Use Groundwater,Irrigation,Pasture,Spray,238.0,150.0,1053579.0,150.0
0,CRC210165,Use Groundwater,Irrigation,Pasture,Spray,432.0,213.8,18472.0,1.0
0,CRC214367,Use Groundwater,Irrigation,Pasture,Spray,70.0,48.0,392040.0,150.0
0,CRC222231,Use Groundwater,Irrigation,Pasture,Spray,15.0,7.0,605.0,1.0
0,CRC222883,Use Surface Water,Irrigation,Pasture,Spray,140.0,82.0,7085.0,1.0
0,CRC220380,Use Groundwater,Irrigation,Pasture,Spray,120.0,53.0,,
0,CRC201840,Use Groundwater,Irrigation,Pasture,Trickle,1.0,207.0,17884.8,1.0
0,CRC222328,Use Surface Water,Irrigation,Pasture,Spray - Gun,84.0,25.0,,
0,CRC211968,Use Groundwater,Irrigation,Pasture,Spray,97.0,35.0,3024.0,1.0
0,CRC210088,Use Groundwater,Irrigation,Pasture,Spray,80.0,25.0,2160.0,1.0
0,CRC223129,Use Surface Water,Irrigation,Pasture,Spray,50.0,29.0,,
0,CRC203381,Use Groundwater,Irrigation,Pasture,Spray,463.0,255.7,,
0,CRC210670,Use Groundwater,Irrigation,Pasture,Spray,124.0,23.0,,
0,CRC212637,Use Groundwater,Irrigation,Pasture,Spray,227.0,170.0,,
0,CRC221236,Use Groundwater,Irrigation,Pasture,Spray,53.0,38.0,20520.0,10.0
0,CRC136981,Use Groundwater,Irrigation,Pasture,Spray,200.0,132.9,77029.0,7.0
0,CRC215250,Use Groundwater,Irrigation,Cropping,Spray,62.0,38.0,21888.0,8.0
0,CRC215251,Use Groundwater,Irrigation,Cropping,Spray,17.8,22.0,7009.2,8.0
0,CRC202028,Use Groundwater,Irrigation,Pasture,Spray,122.0,71.0,61340.0,10.0
0,CRC225118,Use Groundwater,Irrigation,Pasture,Spray,170.0,162.2,,
0,CRC201412,Use Groundwater,Irrigation,Pasture,Spray,23.3,13.0,1123.2,1.0
0,CRC201224,Use Groundwater,Irrigation,Pasture,Spray,465.0,255.0,,
0,CRC230798,Use Groundwater,Irrigation,Pasture,Spray,132.0,66.0,685714.0,150.0
0,CRC203054,Use Groundwater,Irrigation,Pasture,Spray,0.0,,,
1,CRC203054,Use Groundwater,Gravel Extraction/Processing,,,,,375533.0,365.0
2,CRC203054,Use Groundwater,Potable Supply,,,,,,
3,CRC203054,Use Groundwater,Irrigation,Dust suppression,Spray,0.0,,,
0,CRC223137,Use Groundwater,Irrigation,Dust suppression,Spray - Gun,19.0,5.0,95.0,1.0
0,CRC195375,Use Groundwater,Irrigation,Pasture,Spray,80.0,40.0,20563.0,7.0
0,CRC222521,Use Groundwater,Irrigation,Market Garden,Spray,35.0,19.0,443.0,1.0
0,CRC195522,Use Groundwater,Irrigation,Pasture,Spray,21.0,20.0,1728.0,1.0
0,CRC212886,Use Groundwater,Irrigation,Pasture,Spray,57.3,35.0,32760.0,13.0
0,CRC213549,Use Groundwater,Irrigation,Pasture,Spray,10.0,10.0,432.0,1.0
0,CRC221608,Use Groundwater,Irrigation,Pasture,Spray,88.0,52.5,367168.0,365.0
0,CRC202945,Use Groundwater,Irrigation,Pasture,Spray,162.0,98.0,749879.0,150.0
0,CRC182846,Use Groundwater,Irrigation,Pasture,Spray,0.0,21.0,,
1,CRC182846,Use Groundwater,Firefighting,,,,21.0,,
0,CRC200136,Use Groundwater,Irrigation,Pasture,Spray,26.0,30.0,1429.0,1.0
0,CRC201918,Use Groundwater,Irrigation,Pasture,Trickle,80.0,54.8,576720.0,150.0
1,CRC201918,Use Groundwater,Potable Supply,,,,54.8,576720.0,150.0
0,CRC203209,Use Groundwater,Irrigation,Pasture,Spray - Gun,8.14,10.0,4294.8,14.0
0,CRC212947,Use Groundwater,Irrigation,Orchard - Nut,Spray,11.0,,,
1,CRC212947,Use Groundwater,Domestic Use,,,,,,
0,CRC201960,Use Surface Water,Irrigation,Lifestyle,Spray - Gun,4.0,8.7,262.0,1.0
0,CRC211514,Use Groundwater,Irrigation,Cropping,Spray - Gun,39.8,30.0,120000.0,
0,CRC212224,Use Groundwater,Irrigation,Pasture,Spray,141.0,,,
0,CRC221492,Use Groundwater,Irrigation,Pasture,Spray,10.0,12.5,3261.0,9.0
0,CRC221237,Use Groundwater,Irrigation,Pasture,Spray,16.4,40.7,118900.0,365.0
0,CRC204672,Use Groundwater,Irrigation,Pasture,Spray - Gun,68.0,34.1,39528.0,14.0
0,CRC166770,Use Surface Water,Irrigation,Pasture,Spray,1.0,,,
0,CRC143522,Use Surface Water,Irrigation,Pasture,Spray,160.0,60.0,36288.0,7.0
0,CRC200336,Use Groundwater,Irrigation,Pasture,Spray,97.0,45.0,,
0,CRC991986.1,Use Surface Water,Irrigation,Pasture,Spray,411.0,170.0,102816.0,7.0
0,CRC200179,Use Groundwater,Irrigation,Pasture,Spray - Gun,10.0,7.0,40070.0,365.0
1,CRC200179,Use Groundwater,Stockwater,,,,7.0,19478.0,365.0
2,CRC200179,Use Groundwater,Dairy Shed (Washdown/Cooling),,,,7.0,18250.0,365.0
0,CRC211178,Use Groundwater,Irrigation,Pasture,Spray,69.0,40.0,3456.0,1.0
0,CRC054382.1,Use Groundwater,Irrigation,Pasture,Spray,210.0,130.0,123552.0,12.0
0,CRC201217,Use Groundwater,Irrigation,Pasture,Spray,340.0,160.0,108864.0,7.0
0,CRC201724,Use Groundwater,Irrigation,Pasture,Spray,301.0,152.0,52531.0,4.0
0,CRC214871,Use Groundwater,Irrigation,Pasture,Spray,210.0,,,
0,CRC200216,Use Groundwater,Irrigation,Pasture,Spray,200.0,265.0,130088.0,7.0
1,CRC200216,Use Surface Water,Irrigation,Pasture,Spray,200.0,30.0,786.0,1.0
0,CRC223491,Use Groundwater,Irrigation,Pasture,Spray,0.0,45.0,,
0,CRC203230,Use Groundwater,Irrigation,Pasture,Spray,182.0,26.5,314245.0,
0,CRC195350,Use Groundwater,Irrigation,Cropping,Spray,164.8,83.0,7120.0,1.0
0,CRC201001,Use Groundwater,Irrigation,Pasture,Spray,605.0,,,
0,CRC224831,Use Groundwater,Irrigation,Pasture,Spray,47.0,30.0,7200.0,7.0
0,CRC223335,Use Groundwater,Irrigation,Pasture,Spray,370.0,4.9,87065.0,7.0
0,CRC203679,Use Groundwater,Irrigation,Cropping,Spray - Gun,170.0,135.0,9418.0,1.0
0,CRC221075,Use Groundwater,Irrigation,Pasture,Spray,170.0,160.0,,
0,CRC220367,Use Groundwater,Irrigation,Pasture,Spray,437.0,199.0,120000.0,7.0
