X,Y,ConsentNo,ConsentType,ConsentSource,ConsentStatus,FeatureType,ActivityText,FileNo,MaxRate,MaxVolume,ReturnPeriodDays,EffectiveAnnualVolume,FullEffectiveAnnualVolume,ConsentedAnnualVolume,NZTMX,NZTMY
1557684.812,5173711.019,CRC165168,Water Permit (s14),Full Transfer Site2Site,Issued - Active,Water Take/Use,Take Groundwater,CRC165168,4.9,212.5,1,29411,29411,29411,1557684,5173711
1468406.497,5107693.572,CRC160461,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC160461,33,2854,1,231352,231352,231352,1468406,5107693
1444979.888,5100046.701,CRC151726,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC151726,4.9,90,1,27360,27360,27360,1444979,5100046
1526849.574,5156769.881,CRC160560,Water Permit (s14),Part Transfer Site2Site (W),Issued - Active,Water Take/Use,Take Groundwater,CRC160560,4.9,99.9,1,9116,36464,36464,1526849,5156769
1575771.974,5207134.583,CRC133507,Water Permit (s14),New Consent,Issued - Inactive,Water Take/Use,Take Groundwater,CRC133507,1,86.4,1,31447,31447,0,1575771,5207134
1470002.806,5134693.519,CRC132815,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC132815,5,159,1,58035,58035,58035,1470002,5134693
1576290.127,5260928.914,CRC151696,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC151696,10,1750,7,70350,70350,70350,1576290,5260928
1585630.117,5264183.884,CRC154725,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC154725,5,937.3,7,29044.5,34170,34170,1585630,5264183
1545192.218,5195591.213,CRC142947,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC142947,100,8640,1,457920,457920,457920,1545192,5195591
1489695.442,5120236.228,CRC161903,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC161903,70,38108,7,819494,819494,819494,1489695,5120236
1488815.235,5119777.84,CRC161903,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC161903,70,38108,7,819494,819494,819494,1488815,5119777
1529010.06,5155747.533,CRC160561,Water Permit (s14),Part Transfer Site2Site (W),Issued - Active,Water Take/Use,Take Groundwater,CRC160561,4.9,135,1,43325,43325,43325,1529010,5155747
1597203.017,5272962.55,CRC156014,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC156014,4.6,93,1,25360,25360,25360,1597203,5272962
1622309.442,5271345.047,CRC160276,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC160276,4,140,1,50896,50896,50896,1622309,5271345
1550965.164,5174593.311,CRC160372,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC160372,4.9,10,1,3640,3640,3640,1550965,5174593
1562486.433,5165776.317,CRC134786,Water Permit (s14),Change in Conditions,Issued - Active,Water Take/Use,Take Groundwater,CRC134786,25,6559,7,140550,140550,,1562486,5165776
1499972.221,5166568.136,CRC140381,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC140381,5,100,1,30000,30000,30000,1499972,5166568
1581942.493,5261888.422,CRC142776,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC142776,6,185,1,50715,50715,50715,1581942,5261888
1589577.466,5263875.542,CRC150219,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC150219,2,101,1,38080,38080,38080,1589577,5263875
1577338.026,5252711.015,CRC143295,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC143295,10,656,1,96900,96900,96900,1577338,5252711
1447856.246,5040246.124,CRC157107,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC157107,3.5,302,1,81553,81553,81553,1447856,5040246
1465284.51,5093798.826,CRC142043,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC142043,5,38.7,1,11765,11765,11765,1465284,5093798
1520429.414,5202669.7,CRC144773,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC144773,7,864,1,220752,220752,220752,1520429,5202669
1595843.856,5263550.632,CRC135819,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC135819,4,70,1,16848,16848,16848,1595843,5263550
1456713.064,5090711.16,CRC162594,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC162594,10,864,1,124928,124928,124928,1456713,5090711
1470720.522,5106391.366,CRC150058,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC150058,4.9,49,1,14945,14945,14945,1470720,5106391
1516656.895,5146554.279,CRC050512.1,Water Permit (s14),Change in Conditions,Issued - Active,Water Take/Use,Take Groundwater,CO6C/19889,73,44150,7,627000,627000,627000,1516656,5146554
1461943.341,5101789.027,CRC991606,Water Permit (s14),Renewal,Issued - Active,Water Take/Use,Take Groundwater,CO6C/15402,3.3,119,1,8307,8307,0,1461943,5101789
1519813.856,5154346.569,CRC042690,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/21987,100,115920,14,745200,745200,745200,1519813,5154346
1487839.667,5131402.142,CRC136723,Water Permit (s14),Change in Conditions,Issued - Active,Water Take/Use,Take Groundwater,CRC136723,144.8,14688,1,,,,1487839,5131402
1565678.184,5195246.461,CRC145623,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC145623,3,260,4,13164,13164,0,1565678,5195246
1493083.667,5158397.921,CRC040441.1,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CO6C/19126,2,3553,21,24234,24234,0,1493083,5158397
1540279.669,5175752.257,CRC157492,Water Permit (s14),Change in Conditions,Issued - Active,Water Take/Use,Take Groundwater,CRC157492,100,8640,1,921140,921140,921140,1540279,5175752
1516722.685,5136497.131,CRC030382.1,Water Permit (s14),Change in Conditions,Issued - Active,Water Take/Use,Take Groundwater,CO6C/19751,91,7862,1,1106750,1106750,1106750,1516722,5136497
1565922.676,5159396.049,CRC181628,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC181628,5,5185,12,71894,71894,0,1565922,5159396
1524450.338,5148786.854,CRC153020,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC153020,73,6045,1,850178,850178,0,1524450,5148786
1538878.08,5163628.991,CRC900211.2,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CO6C/28149,57,63201,14,577323,577323,0,1538878,5163628
1568700.192,5206178.479,CRC174545,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC174545,3.8,81,1,13000,13000,0,1568700,5206178
1548457.915,5176308.574,CRC010319,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/16392,3.6,467,3,28861,28861,0,1548457,5176308
1553938.366,5170724.855,CRC961188.3,Water Permit (s14),Change in Conditions,Issued - Active,Water Take/Use,Take Groundwater,CO6C/27449,10,495,1,41114,41114,41114,1553938,5170724
1573210.398,5190719.167,CRC970953.1,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CO6C/00433,18,1620,7,31345,31345,0,1573210,5190719
1484654.522,5111855.057,CRC150812,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC150812,30,2592,1,226625,226625,226625,1484654,5111855
1565146.526,5186202.751,CRC971709.1,Water Permit (s14),Change in Conditions,Issued - Active,Water Take/Use,Take Groundwater,CO6C/02102,12,211,1,12015,48058,48058,1565146,5186202
1456826.268,5085719.555,CRC172301,Water Permit (s14),Part Surrender,Issued - Active,Water Take/Use,Take Groundwater,CRC172301,4.9,5922,14,65000,65000,0,1456826,5085719
1451312.213,5109831.58,CRC151809,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CRC151809,4,346,1,34740,34740,34740,1451312,5109831
1551375.675,5180817.215,CRC172439,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC172439,5,6048,21,45500,45500,0,1551375,5180817
1545831.617,5155289.581,CRC181103,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC181103,15,2592,12,38527,38527,38527,1545831,5155289
1480834.315,5118258.748,CRC060149.1,Water Permit (s14),Change in Conditions,Issued - Active,Water Take/Use,Take Groundwater,CO6C/11399,50,17280,4,471510,471510,471510,1480834,5118258
1547649.822,5183154.261,CRC151071,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC151071,4,150,1,21629,21629,0,1547649,5183154
1544008.314,5164484.207,CRC166373,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC166373,45,3726,1,685394,685394,685394,1544008,5164484
1486035.158,5115494.745,CRC150783,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC150783,12,7259,8,121641,121641,0,1486035,5115494
1504244.2,5135404.892,CRC940621.1,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CO6C/05960,9,3629,7,70799,70799,0,1504244,5135404
1546968.034,5183466.128,CRC051369,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/22678,2.8,121,1,10890,10890,10890,1546968,5183466
1463249.041,5096842.067,CRC021573A.4,Water Permit (s14),Change in Conditions,Issued - Active,Water Take/Use,Take Groundwater,CO6C/27410,54,11423,7,100640,402560,0,1463249,5096842
1512117.573,5197180.911,CRC171324,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC171324,30,9072,7,0,169000,0,1512117,5197180
1560085.729,5162255.438,CRC960262.1,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CO6C/09506,22.5,14904,12,204677,204677,0,1560085,5162255
1462310.047,5111238.149,CRC021323,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/18368,34.5,29808,10,82913,331650,0,1462310,5111238
1440393.014,5106431.004,CRC930946.1,Water Permit (s14),Notice of Review,Issued - Active,Water Take/Use,Take Groundwater,CO6T/00531,52,4493,1,360000,720000,0,1440393,5106431
1581188.3,5223035.918,CRC991554,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/15384,2,432,7,7235,7235,0,1581188,5223035
1542613.05,5144898.859,CRC010678.3,Water Permit (s14),Notice of Review,Issued - Active,Water Take/Use,Take Groundwater,CO6C/00232,45,47628,14,292626,292626,292626,1542613,5144898
1461093.936,5103163.575,CRC961101.3,Water Permit (s14),Change in Conditions,Issued - Active,Water Take/Use,Take Groundwater,CO6C/16939,14.4,1240,1,0,120446,0,1461093,5103163
1551332.694,5180723.245,CRC961174.1,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CO6C/10512,2.4,173,1,14419,28838,0,1551332,5180723
1465705.45,5115077.782,CRC021197,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/18680,170.4,,,1458898,1458898,0,1465705,5115077
1463157.514,5095647.17,CRC156464,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CO6C/09016,38,2520,7,47830,47830,0,1463157,5095647
1551426.883,5176588.656,CRC012789.1,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CO6C/18013,2.7,632,5,22028,22028,0,1551426,5176588
1571376.072,5195095.51,CRC990610,Water Permit (s14),Renewal,Issued - Active,Water Take/Use,Take Groundwater,CO6C/03384,15.2,21013,20,170123,170123,0,1571376,5195095
1564136.4,5173691.377,CRC157423,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC157423,22.7,3269,5,47830,47830,47830,1564136,5173691
1494860.961,5127152.746,CRC167577,Water Permit (s14),Change in Conditions,Issued - Active,Water Take/Use,Take Groundwater,CRC167577,23,9274,14,79464,79464,79464,1494860,5127152
1495876.42,5144001.286,CRC990492.1,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CO6C/29531,4,4752,15,42442,42442,0,1495876,5144001
1457056.253,5072830.971,CRC010392,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/10581,4,2100,7,45000,45000,0,1457056,5072830
1457616.35,5094998.048,CRC960135.1,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CO6C/09363,1.7,979,15,12167,12167,0,1457616,5094998
1550746.777,5183246.368,CRC940543,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/04199,2.8,726,7,3571,14284,0,1550746,5183246
1450151.34,5050464.523,CRC971154.2,Water Permit (s14),Change in Conditions,Issued - Active,Water Take/Use,Take Groundwater,CO6C/11250,28,24192,14,215128,215128,215128,1450151,5050464
1538713.172,5146456.737,CRC144424,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC144424,35,26611,14,61620,246480,246480,1538713,5146456
1514100.793,5129877.479,CRC042276.1,Water Permit (s14),Change in Conditions,Issued - Active,Water Take/Use,Take Groundwater,CO6C/23346,100,74520,9,997752,997752,0,1514100,5129877
1567626.49,5192575.432,CRC990966,Water Permit (s14),Renewal,Issued - Active,Water Take/Use,Take Groundwater,CO6C/01485,4,864,7,21284,21284,0,1567626,5192575
1548158.484,5169497.86,CRC961383,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/10815,9.4,8100,21,68063,68063,0,1548158,5169497
1573058.46,5190314.321,CRC171503,Water Permit (s14),Part Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC171503,5,1874,10,26000,26000,0,1573058,5190314
1576600.306,5228359.242,CRC143763,Water Permit (s14),Amalgamation,Issued - Active,Water Take/Use,Take Groundwater,CRC143763,66,592272,150,837216,837216,837216,1576600,5228359
1573058.46,5190314.321,CRC171502,Water Permit (s14),Part Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC171502,5,1874,10,26000,26000,0,1573058,5190314
1562133.467,5168642.169,CRC144324,Water Permit (s14),Full Transfer,Issued - Active,Water Take/Use,Take Groundwater,CRC144324,7,1260,7,28497,28497,0,1562133,5168642
1548229.493,5169063.015,CRC010116,Water Permit (s14),New Consent,Issued - Active,Water Take/Use,Take Groundwater,CO6C/00796,5.5,4277,12,60500,60500,0,1548229,5169063
1494652.995,5147996.177,CRC144494,Water Permit (s14),Change in Conditions,Issued - Active,Water Take/Use,Take Groundwater,CRC144494,53,15000,7,218771,218771,218771,1494652,5147996
