X,Y,ConsentNo,ConsentType,ConsentSource,ConsentStatus,,FeatureType,,ActivityText,EstAllocation,EstMethod,MaxRate,MaxVolume,consecDays,NZTMX,NZTMY
1544312.052,5263461.265,CRC951163.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,0,,425,36700,1,1544312,5263461
1430605.105,5077566.643,CRC092155,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,172900,,5.5,3325,7,1430605,5077566
1475794.862,5196130.19,CRC111922,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,0,,25,2160,1,1475794,5196130
1584295.413,5151800.821,CRC970388.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,0,,10,865,1,1584295,5151800
1538170.516,5214346.345,CRC111386,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,0,,3,260,1,1538170,5214346
1460732.661,5104038.357,CRC051574,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,0,,80,7000,1,1460732,5104038
1457890.912,5109916.833,CRC150020,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,0,,48,6274,7,1457890,5109916
1475794.862,5196130.19,CRC111922,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,0,,25,2160,1,1475794,5196130
1488532.941,5121694.212,CRC971569.1,Water Permit (s14),Change in Conditions,Issued - Active,,Water Take/Use,,Take Surface Water,797696,,80,82944,12,1488532,5121694
1602533.473,5276110.777,CRC090297,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,59346,,5,280,1,1602533,5276110
1574030.748,5205632.86,CRC143176,Water Permit (s14),Amalgamation,Issued - Active,,Water Take/Use,,Take Surface Water,900000,,68,81825,28,1574030,5205632
1611241.784,5299786.674,CRC155750,Water Permit (s14),Change in Conditions,Issued - Active,,Water Take/Use,,Take Surface Water,75000,,4.6,,,1611241,5299786
1488586.907,5121780.21,CRC131868,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,563080,,50,28980,7,1488586,5121780
1602962.789,5271982.222,CRC040130.2,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,698389,,70,,,1602962,5271982
1470042.362,5101691.968,CRC962356.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,54192,,32,6912,15,1470042,5101691
1637294.957,5306374.317,CRC150769,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,265953,,22,13305,7,1637294,5306374
1563902.584,5171991.007,CRC930583,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,95328,,23,5796,10,1563902,5171991
1608583.079,5289545.173,CRC073956,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,4599000,,0.4,12.6,1,1608583,5289545
1469242.836,5100691.82,CRC962521.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,531092,,68,112608,20,1469242,5100691
1563102.901,5171791.038,CRC962402.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,341967,,30,2160,1,1563102,5171791
1567700.483,5201880.041,CRC990502.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,81046,,19,5472,10,1567700,5201880
1593617.932,5261050.219,CRC972171,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,859712,,80,117504,21,1593617,5261050
1571799.155,5209577.184,CRC970853.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,277254,,21,1740,1,1571799,5209577
1547389.74,5158424.642,CRC970542.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,62379,,11,2850,7,1547389,5158424
1504421.125,5167487.35,CRC173827,Water Permit (s14),Change in Conditions,Issued - Active,,Water Take/Use,,Take Surface Water,1441950,,120,10368,1,1504421,5167487
1442374.793,5028485.317,CRC971706.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,390097,,38,45150,15,1442374,5028485
1628827.829,5298221.42,CRC042221.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,501258,,50,30000,10,1628827,5298221
1464741.849,5105089.652,CRC176541,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,234000,,38,21888,14,1464741,5105089
1489134.981,5113995.961,CRC971296.2,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,46925,,30,2500,7,1489134,5113995
1491322.138,5207278.492,CRC110404,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,203695,,30,942,1,1491322,5207278
1544611.721,5149597.455,CRC970354,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,76724,,35,11088,26,1544611,5149597
1598820.812,5267846.197,CRC982202.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,255094,,26,23587,14,1598820,5267846
1487531.728,5127192.874,CRC951621,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,453178,,90,23370,7,1487531,5127192
1557004.475,5213776.122,CRC970989,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,0,,65,4320,1,1557004,5213776
1345125.839,5098144.531,CRC930402C,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,0,,100,60480,7,1345125,5098144
1569499.846,5203279.513,CRC990989.2,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,580826,,45,3726,1,1569499,5203279
1564401.669,5201680.163,CRC990612,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,183031,,14,1200,1,1564401,5201680
1591062.153,5153920.334,CRC030356.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,14109,,3,176,14,1591062,5153920
1558304.235,5219374.196,CRC136322,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,0,,0.6,105,7,1558304,5219374
1472628.123,5113191.153,CRC153430,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,0,,250,21600,1,1472628,5113191
1484036.32,5112894.667,CRC150472,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,366731,,36,3100,1,1484036,5112894
1488535.555,5112496.099,CRC952653.2,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,397934,,150,86400,30,1488535,5112496
1575497.739,5207977.67,CRC971090.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,264621,,225,34020,21,1575497,5207977
1584599.508,5272654.099,CRC951305,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,79551935,,11000,,,1584599,5272654
1391034.709,5117165.875,CRC952547,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,1673517,,350,30240,1,1391034,5117165
1588009.229,5263485.943,CRC970863.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,804461,,78,5896,1,1588009,5263485
1593583.5,5246672.396,CRC040383,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,242465,,20.6,8030,7,1593583,5246672
1602533.473,5276110.777,CRC090297,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,207360,,160,6912,1,1602533,5276110
1466094.249,5098011.012,CRC081419,Water Permit (s14),Part Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,11826,,3,560,7,1466094,5098011
1430054.109,5103147.209,CRC173499,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,0,,2,3456,21,1430054,5103147
1602533.473,5276110.777,CRC090297,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,207360,,160,6912,1,1602533,5276110
1455821.793,5107816.312,CRC991963B.2,Water Permit (s14),Change in Conditions,Issued - Active,,Water Take/Use,,Take Surface Water,0,,23,12412,7,1455821,5107816
1576100.183,5250762.492,CRC951953.3,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,80126,,23,15000,30,1576100,5250762
1591791.88,5152800.905,CRC174538,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,19500,,0.7,14,1,1591791,5152800
1493731.086,5124694.941,CRC951900,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,771156,,65,39300,7,1493731,5124694
1465841.962,5104390.12,CRC970177,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,137066,,38,9850,7,1465841,5104390
1412757.975,5024382.726,CRC021504.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,1273546,,110,95040,10,1412757,5024382
1593224.578,5256328.945,CRC136699,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,85971,,10,5796,10,1593224,5256328
