line_code,irrigated_ha,year,suppressed,dominant_farm_type,region,reference,irrigation_variable,unit,,Area 2017,Area 2019
lc6013,706668,2019,FALSE,All farm types,Northland,Total farm area,Total,Hectares,,290625,
lc5506,6318,2019,FALSE,All farm types,Northland,Total irrigated land,Total,Hectares,,71662,
lc5511,0,2019,FALSE,All farm types,Northland,Flood,Irrigation system,Hectares,,97985,
lc5517,NA,2019,TRUE,All farm types,Northland,Centre pivots,Irrigation system,Hectares,,12345,
lc5518,3157,2019,FALSE,All farm types,Northland,Travelling and sprayline,Irrigation system,Hectares,,1945,
lc5521,2200,2019,FALSE,All farm types,Northland,Micro,Irrigation system,Hectares,,1323,
lc5550,NA,2019,TRUE,All farm types,Northland,Dairy,Irrigation use,Hectares,,317932,
lc5551,NA,2019,TRUE,All farm types,Northland,Livestock,Irrigation use,Hectares,,68430.6,
lc5552,NA,2019,TRUE,All farm types,Northland,Grain,Irrigation use,Hectares,,86930,
lc5553,353,2019,FALSE,All farm types,Northland,Vege crops,Irrigation use,Hectares,,12982.2,
lc5554,1737,2019,FALSE,All farm types,Northland,Fruit crops,Irrigation use,Hectares,,3071,
lc5555,1034,2019,FALSE,All farm types,Northland,Hort crops,Irrigation use,Hectares,,1515.3,
lc6013,268632,2019,FALSE,All farm types,Auckland,Total farm area,Total,Hectares,,,
lc5506,6301,2019,FALSE,All farm types,Auckland,Total irrigated land,Total,Hectares,,,
lc5511,37,2019,FALSE,All farm types,Auckland,Flood,Irrigation system,Hectares,,,
lc5517,311,2019,FALSE,All farm types,Auckland,Centre pivots,Irrigation system,Hectares,,,
lc5518,3691,2019,FALSE,All farm types,Auckland,Travelling and sprayline,Irrigation system,Hectares,,,
lc5521,NA,2019,TRUE,All farm types,Auckland,Micro,Irrigation system,Hectares,,,
lc5550,NA,2019,TRUE,All farm types,Auckland,Dairy,Irrigation use,Hectares,,,
lc5551,NA,2019,TRUE,All farm types,Auckland,Livestock,Irrigation use,Hectares,,,
lc5552,1,2019,FALSE,All farm types,Auckland,Grain,Irrigation use,Hectares,,,
lc5553,3105,2019,FALSE,All farm types,Auckland,Vege crops,Irrigation use,Hectares,,,
lc5554,1026,2019,FALSE,All farm types,Auckland,Fruit crops,Irrigation use,Hectares,,,
lc5555,379,2019,FALSE,All farm types,Auckland,Hort crops,Irrigation use,Hectares,,,
lc6013,1528316,2019,FALSE,All farm types,Waikato,Total farm area,Total,Hectares,,,
lc5506,19381,2019,FALSE,All farm types,Waikato,Total irrigated land,Total,Hectares,,,
lc5511,2,2019,FALSE,All farm types,Waikato,Flood,Irrigation system,Hectares,,,
lc5517,8476,2019,FALSE,All farm types,Waikato,Centre pivots,Irrigation system,Hectares,,,
lc5518,12877,2019,FALSE,All farm types,Waikato,Travelling and sprayline,Irrigation system,Hectares,,,
lc5521,NA,2019,TRUE,All farm types,Waikato,Micro,Irrigation system,Hectares,,,
lc5550,14185,2019,FALSE,All farm types,Waikato,Dairy,Irrigation use,Hectares,,,
lc5551,2110,2019,FALSE,All farm types,Waikato,Livestock,Irrigation use,Hectares,,,
lc5552,NA,2019,TRUE,All farm types,Waikato,Grain,Irrigation use,Hectares,,,
lc5553,3000,2019,FALSE,All farm types,Waikato,Vege crops,Irrigation use,Hectares,,,
lc5554,505,2019,FALSE,All farm types,Waikato,Fruit crops,Irrigation use,Hectares,,,
lc5555,193,2019,FALSE,All farm types,Waikato,Hort crops,Irrigation use,Hectares,,,
lc6013,581937,2019,FALSE,All farm types,Bay of Plenty,Total farm area,Total,Hectares,,,
lc5506,NA,2019,TRUE,All farm types,Bay of Plenty,Total irrigated land,Total,Hectares,,,
lc5511,NA,2019,TRUE,All farm types,Bay of Plenty,Flood,Irrigation system,Hectares,,,
lc5517,NA,2019,TRUE,All farm types,Bay of Plenty,Centre pivots,Irrigation system,Hectares,,,
lc5518,NA,2019,TRUE,All farm types,Bay of Plenty,Travelling and sprayline,Irrigation system,Hectares,,,
lc5521,3535,2019,FALSE,All farm types,Bay of Plenty,Micro,Irrigation system,Hectares,,,
lc5550,NA,2019,TRUE,All farm types,Bay of Plenty,Dairy,Irrigation use,Hectares,,,
lc5551,137,2019,FALSE,All farm types,Bay of Plenty,Livestock,Irrigation use,Hectares,,,
lc5552,22,2019,FALSE,All farm types,Bay of Plenty,Grain,Irrigation use,Hectares,,,
lc5553,82,2019,FALSE,All farm types,Bay of Plenty,Vege crops,Irrigation use,Hectares,,,
lc5554,3509,2019,FALSE,All farm types,Bay of Plenty,Fruit crops,Irrigation use,Hectares,,,
lc5555,396,2019,FALSE,All farm types,Bay of Plenty,Hort crops,Irrigation use,Hectares,,,
lc6013,533265,2019,FALSE,All farm types,Gisborne,Total farm area,Total,Hectares,,,
lc5506,3589,2019,FALSE,All farm types,Gisborne,Total irrigated land,Total,Hectares,,,
lc5511,0,2019,FALSE,All farm types,Gisborne,Flood,Irrigation system,Hectares,,,
lc5517,295,2019,FALSE,All farm types,Gisborne,Centre pivots,Irrigation system,Hectares,,,
lc5518,2368,2019,FALSE,All farm types,Gisborne,Travelling and sprayline,Irrigation system,Hectares,,,
lc5521,856,2019,FALSE,All farm types,Gisborne,Micro,Irrigation system,Hectares,,,
lc5550,NA,2019,TRUE,All farm types,Gisborne,Dairy,Irrigation use,Hectares,,,
lc5551,NA,2019,TRUE,All farm types,Gisborne,Livestock,Irrigation use,Hectares,,,
lc5552,27,2019,FALSE,All farm types,Gisborne,Grain,Irrigation use,Hectares,,,
lc5553,2254,2019,FALSE,All farm types,Gisborne,Vege crops,Irrigation use,Hectares,,,
