Year,Dairy Cattle Count,,Average (last 5 years),1274439.2,
1990,112999,,,,
1991,120387,,,,
1992,127386,,Use,Average Water Use (L/cow/day),Water Consumed (m3)
1993,169249,,SDW,28,13024768.62
1994,212492,,MPW,64,29770899.71
1995,239138,,,,
1996,246230,,,,
1997,246230,,,,
1998,246230,,,,
1999,275305,,,,
2000,275305,,,,
2001,275305,,,,
2002,542610,,,,
2003,556339,,,,
2004,599643,,,,
2005,604756,,,,
2006,655676,,,,
2007,754937,,,,
2008,831666,,,,
2009,918480,,,,
2010,938453,,,,
2011,1006742,,,,
2012,1200293,,,,
2013,1304618,,,,
2014,1333220,,,,
2015,1253993,,,,
2016,1271057,,,,
2017,1308058,,,,
2018,1326513,,,,
2019,1212575,,,,
